filename,flair_dice,flair_sens,flair_prec,t1c_dice,t1c_sens,t1c_prec,t2_dice,t2_sens,t2_prec,fus2_dice,fus2_sens,fus2_prec,fus3_dice,fus3_sens,fus3_prec
BRATS_362.nii.gz,0.742,0.972,0.600,0.330,0.621,0.225,0.706,0.860,0.599,0.858,0.888,0.831,0.934,0.913,0.957
BRATS_363.nii.gz,0.386,0.239,0.999,0.438,0.283,0.975,0.537,0.374,0.955,0.502,0.336,0.992,0.499,0.334,0.993
BRATS_364.nii.gz,0.762,0.990,0.620,0.002,0.001,1.000,0.906,0.844,0.977,0.212,1.000,0.118,0.890,0.805,0.995
BRATS_365.nii.gz,0.905,0.988,0.834,0.001,0.000,1.000,0.890,0.858,0.924,0.828,0.811,0.846,0.911,0.987,0.845
BRATS_366.nii.gz,0.779,0.719,0.849,0.719,0.575,0.958,0.677,0.565,0.843,0.815,0.792,0.838,0.797,0.764,0.833
BRATS_367.nii.gz,0.888,0.837,0.946,0.355,0.579,0.256,0.841,0.728,0.996,0.802,0.704,0.932,0.450,0.290,1.000
BRATS_368.nii.gz,0.704,0.802,0.628,0.043,0.022,1.000,0.333,0.336,0.329,0.414,0.944,0.266,0.748,0.787,0.712
BRATS_369.nii.gz,0.800,0.671,0.989,0.000,0.000,1.000,0.745,0.726,0.764,0.818,0.702,0.980,0.564,0.393,0.998
BRATS_370.nii.gz,0.910,0.848,0.981,0.002,0.001,1.000,0.607,0.890,0.461,0.914,0.881,0.949,0.929,0.877,0.988
BRATS_371.nii.gz,0.741,0.620,0.920,0.368,0.259,0.637,0.284,0.169,0.872,0.568,0.753,0.456,0.737,0.608,0.933
BRATS_372.nii.gz,0.913,0.937,0.889,0.310,0.246,0.421,0.620,0.806,0.504,0.895,0.944,0.850,0.859,0.910,0.813
BRATS_373.nii.gz,0.862,0.941,0.795,0.124,0.985,0.066,0.777,0.641,0.985,0.833,0.899,0.776,0.874,0.921,0.832
BRATS_374.nii.gz,0.918,0.877,0.964,0.559,0.393,0.965,0.507,0.781,0.375,0.924,0.896,0.953,0.908,0.859,0.963
BRATS_375.nii.gz,0.926,0.864,0.996,0.574,0.930,0.415,0.878,0.791,0.986,0.931,0.982,0.884,0.904,0.828,0.995
BRATS_376.nii.gz,0.484,0.836,0.341,0.355,0.591,0.254,0.461,0.703,0.343,0.318,0.853,0.196,0.451,0.815,0.311
BRATS_377.nii.gz,0.910,0.873,0.952,0.423,0.321,0.620,0.848,0.751,0.973,0.880,0.867,0.894,0.906,0.872,0.944
BRATS_378.nii.gz,0.754,0.611,0.986,0.686,0.532,0.965,0.306,0.180,1.000,0.908,0.846,0.981,0.752,0.608,0.988
BRATS_379.nii.gz,0.912,0.869,0.959,0.544,0.437,0.719,0.511,0.855,0.364,0.852,0.864,0.839,0.869,0.900,0.841
BRATS_380.nii.gz,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BRATS_381.nii.gz,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
BRATS_382.nii.gz,0.860,0.801,0.930,0.583,0.415,0.980,0.821,0.808,0.835,0.278,0.742,0.171,0.872,0.835,0.912
BRATS_383.nii.gz,0.828,0.769,0.897,0.035,0.018,1.000,0.613,0.514,0.759,0.852,0.809,0.900,0.865,0.795,0.949
BRATS_384.nii.gz,0.462,0.304,0.961,0.196,0.573,0.118,0.548,0.383,0.965,0.640,0.678,0.607,0.686,0.558,0.891
